source	target	GO_term_matches
164	165	8
164	166	270
164	167	0
164	170	191
164	171	271
164	173	72
164	175	17
164	176	60
164	178	59
164	184	36
164	186	87
164	188	30
164	190	40
164	193	0
164	195	44
164	196	6
164	198	4
164	200	1
164	206	93
164	215	6
164	216	1
164	231	1
164	241	4
164	245	4
164	247	1
164	251	16
164	369	16
165	166	131
165	167	19
165	170	4
165	171	29
165	173	0
165	175	0
165	176	12
165	178	5
165	184	0
165	186	1
165	188	1
165	190	17
165	193	0
165	195	9
165	196	0
165	198	5
165	200	0
165	206	1
165	215	0
165	216	21
165	231	4
165	241	22
165	245	2
165	247	0
165	251	3
165	369	1
166	167	48
166	170	92
166	171	659
166	173	18
166	175	16
166	176	53
166	178	72
166	184	49
166	186	22
166	188	20
166	190	145
166	193	3
166	195	47
166	196	10
166	198	10
166	200	3
166	206	23
166	215	27
166	216	15
166	231	2
166	241	31
166	245	4
166	247	12
166	251	45
166	369	6
167	170	0
167	171	8
167	173	0
167	175	0
167	176	1
167	178	2
167	184	0
167	186	0
167	188	0
167	190	19
167	193	0
167	195	1
167	196	0
167	198	0
167	200	0
167	206	1
167	215	0
167	216	0
167	231	0
167	241	3
167	245	0
167	247	0
167	251	0
167	369	0
170	171	111
170	173	34
170	175	16
170	176	25
170	178	11
170	184	18
170	186	28
170	188	30
170	190	23
170	193	0
170	195	18
170	196	7
170	198	2
170	200	0
170	206	47
170	215	1
170	216	0
170	231	0
170	241	0
170	245	2
170	247	0
170	251	22
170	369	18
171	173	26
171	175	64
171	176	32
171	178	101
171	184	51
171	186	37
171	188	42
171	190	65
171	193	0
171	195	13
171	196	9
171	198	5
171	200	6
171	206	37
171	215	22
171	216	3
171	231	5
171	241	51
171	245	3
171	247	4
171	251	30
171	369	19
173	175	2
173	176	4
173	178	6
173	184	7
173	186	55
173	188	5
173	190	3
173	193	0
173	195	13
173	196	2
173	198	2
173	200	0
173	206	49
173	215	0
173	216	0
173	231	0
173	241	0
173	245	2
173	247	0
173	251	1
173	369	2
175	176	0
175	178	1
175	184	1
175	186	2
175	188	8
175	190	0
175	193	0
175	195	3
175	196	2
175	198	1
175	200	3
175	206	1
175	215	0
175	216	0
175	231	0
175	241	19
175	245	0
175	247	0
175	251	18
175	369	9
176	178	1
176	184	3
176	186	5
176	188	1
176	190	27
176	193	0
176	195	16
176	196	0
176	198	14
176	200	3
176	206	9
176	215	0
176	216	10
176	231	3
176	241	0
176	245	10
176	247	0
176	251	6
176	369	3
178	184	12
178	186	9
178	188	5
178	190	7
178	193	0
178	195	3
178	196	2
178	198	1
178	200	1
178	206	10
178	215	12
178	216	2
178	231	2
178	241	2
178	245	7
178	247	1
178	251	2
178	369	2
184	186	14
184	188	1
184	190	3
184	193	0
184	195	0
184	196	2
184	198	0
184	200	0
184	206	9
184	215	3
184	216	0
184	231	0
184	241	0
184	245	0
184	247	0
184	251	0
184	369	1
186	188	7
186	190	3
186	193	0
186	195	13
186	196	2
186	198	2
186	200	0
186	206	53
186	215	0
186	216	0
186	231	0
186	241	0
186	245	2
186	247	0
186	251	1
186	369	5
188	190	5
188	193	0
188	195	2
188	196	3
188	198	0
188	200	0
188	206	3
188	215	0
188	216	1
188	231	0
188	241	3
188	245	0
188	247	0
188	251	7
188	369	1
190	193	8
190	195	32
190	196	1
190	198	0
190	200	9
190	206	4
190	215	0
190	216	0
190	231	26
190	241	3
190	245	1
190	247	0
190	251	3
190	369	2
193	195	1
193	196	0
193	198	0
193	200	2
193	206	0
193	215	0
193	216	0
193	231	27
193	241	0
193	245	0
193	247	0
193	251	1
193	369	0
195	196	6
195	198	2
195	200	1
195	206	18
195	215	0
195	216	0
195	231	2
195	241	0
195	245	2
195	247	0
195	251	3
195	369	1
196	198	0
196	200	0
196	206	1
196	215	0
196	216	0
196	231	0
196	241	0
196	245	0
196	247	0
196	251	1
196	369	1
198	200	1
198	206	2
198	215	0
198	216	4
198	231	1
198	241	1
198	245	6
198	247	0
198	251	1
198	369	0
200	206	0
200	215	0
200	216	3
200	231	15
200	241	0
200	245	0
200	247	0
200	251	1
200	369	0
206	215	0
206	216	1
206	231	1
206	241	0
206	245	2
206	247	0
206	251	3
206	369	3
215	216	0
215	231	0
215	241	0
215	245	0
215	247	1
215	251	0
215	369	0
216	231	3
216	241	0
216	245	1
216	247	0
216	251	1
216	369	2
231	241	0
231	245	3
231	247	0
231	251	1
231	369	1
241	245	0
241	247	0
241	251	0
241	369	0
245	247	0
245	251	0
245	369	1
247	251	0
247	369	0
251	369	9
